epoch,time,loss,loss_e,loss_r,loss_static,path_gamma,val_mrr_filter,val_H@1,val_H@3,val_H@10,best_mrr,patience_left
0,2026-06-28T10:31:44,10.285745786323707,5.7190862460116465,0.0,0.0,0.0,,,,,0.0,5
1,2026-06-28T10:36:17,7.371872162719152,4.5175628766853935,0.0,0.0,0.0,0.28919845819473267,0.17903033643960953,0.32856833934783936,0.5100011080503464,0.28919845819473267,5
2,2026-06-28T10:40:51,7.060053587957406,4.218953230889771,0.0,0.0,0.0,0.3195512294769287,0.20640287548303604,0.3613436371088028,0.5468637943267822,0.3195512294769287,5
3,2026-06-28T10:45:23,6.92140134109114,4.033883408522506,0.0,0.0,0.0,0.3353448808193207,0.22201327234506607,0.3794216960668564,0.5634743273258209,0.3353448808193207,5
4,2026-06-28T10:49:56,6.806913043664589,3.9128957587804756,0.0,0.0,0.0,0.34311631321907043,0.22911187261343002,0.3883465677499771,0.5710512399673462,0.34311631321907043,5
5,2026-06-28T10:54:29,6.72574520111084,3.8358588911998224,0.0,0.0,0.0,0.3463818430900574,0.2327100858092308,0.3918360769748688,0.5736928284168243,0.3463818430900574,5
6,2026-06-28T10:59:02,6.658393512709869,3.7727960388031963,0.0,0.0,0.0,0.34872961044311523,0.2353082001209259,0.39458638429641724,0.5750842690467834,0.34872961044311523,5
7,2026-06-28T11:03:35,6.6036666088024445,3.721332022335739,0.0,0.0,0.0,0.3494017422199249,0.23635178804397583,0.3950103372335434,0.5752364695072174,0.3494017422199249,5
8,2026-06-28T11:08:07,6.652981349115092,3.69230410743458,0.0,0.0,0.0,0.35352951288223267,0.2399391382932663,0.40027178823947906,0.5804652869701385,0.35352951288223267,5
9,2026-06-28T11:12:40,6.5207614669241165,3.641647123891439,0.0,0.0,0.0,0.3563504219055176,0.2436460629105568,0.40129363536834717,0.5821828544139862,0.3563504219055176,5
10,2026-06-28T11:17:13,6.537376890621425,3.6148330262515334,0.0,0.0,0.0,0.35757774114608765,0.24477660655975342,0.4032829850912094,0.5829764306545258,0.35757774114608765,5
11,2026-06-28T11:21:46,6.47905031906511,3.5848138756333037,0.0,0.0,0.0,0.360184907913208,0.24730949848890305,0.40647897124290466,0.5855962634086609,0.360184907913208,5
12,2026-06-28T11:26:19,6.493493056197545,3.5615540618178234,0.0,0.0,0.0,0.3600689768791199,0.2470920905470848,0.40619634091854095,0.5851179659366608,0.360184907913208,4
13,2026-06-28T11:30:52,6.42300244155788,3.5303050928036037,0.0,0.0,0.0,0.3610701262950897,0.2488422766327858,0.4070660024881363,0.5848788022994995,0.3610701262950897,5
14,2026-06-28T11:35:25,6.429516640667138,3.517747031594919,0.0,0.0,0.0,0.360396146774292,0.24761387705802917,0.40702252089977264,0.5847483575344086,0.3610701262950897,4
15,2026-06-28T11:39:57,6.381850147845855,3.490579653983336,0.0,0.0,0.0,0.36275458335876465,0.24999457597732544,0.409098818898201,0.5873029828071594,0.36275458335876465,5
16,2026-06-28T11:44:30,6.378932708476877,3.474319216097748,0.0,0.0,0.0,0.363757848739624,0.2508968487381935,0.4095662832260132,0.5877269506454468,0.363757848739624,5
17,2026-06-28T11:49:03,6.328009197402698,3.449503758462403,0.0,0.0,0.0,0.3647812604904175,0.2519295662641525,0.4120013117790222,0.5894336700439453,0.3647812604904175,5
18,2026-06-28T11:53:36,6.31381485452213,3.4349607977408247,0.0,0.0,0.0,0.36343514919281006,0.249777153134346,0.41110992431640625,0.5886726975440979,0.3647812604904175,4
19,2026-06-28T11:58:09,6.333708418961848,3.421001963535612,0.0,0.0,0.0,0.36554479598999023,0.2530383840203285,0.41229483485221863,0.5875965058803558,0.36554479598999023,5
20,2026-06-28T12:02:42,6.324653471862921,3.4036248603126493,0.0,0.0,0.0,0.36613261699676514,0.25398414582014084,0.4122622311115265,0.5887162089347839,0.36613261699676514,5
21,2026-06-28T12:07:14,6.262524569882508,3.3852374054896783,0.0,0.0,0.0,0.3650924563407898,0.2531905695796013,0.4109686017036438,0.587922602891922,0.36613261699676514,4
22,2026-06-28T12:11:47,6.271017007747953,3.379462641652159,0.0,0.0,0.0,0.36633700132369995,0.25371236354112625,0.412642702460289,0.5922926664352417,0.36633700132369995,5
23,2026-06-28T12:16:20,6.217774571733994,3.3602327043541305,0.0,0.0,0.0,0.3653530478477478,0.25297316163778305,0.4116969406604767,0.5891836285591125,0.36633700132369995,4
24,2026-06-28T12:20:53,6.2569882191374715,3.3519956427139217,0.0,0.0,0.0,0.3663524091243744,0.2533101513981819,0.41371889412403107,0.5912708044052124,0.3663524091243744,5
25,2026-06-28T12:25:26,6.222179593401474,3.340935722554578,0.0,0.0,0.0,0.3677694797515869,0.2547016069293022,0.4151321053504944,0.5942385196685791,0.3677694797515869,5
26,2026-06-28T12:29:59,6.207844036892368,3.3264215007486704,0.0,0.0,0.0,0.3695850372314453,0.2565605044364929,0.4167844355106354,0.5945972800254822,0.3695850372314453,5
27,2026-06-28T12:34:32,6.206801879356097,3.3130325602687054,0.0,0.0,0.0,0.3706664741039276,0.25722362101078033,0.4180128425359726,0.5964018106460571,0.3706664741039276,5
28,2026-06-28T12:39:04,6.190004197124657,3.304895758628845,0.0,0.0,0.0,0.37064775824546814,0.2578215152025223,0.4181324243545532,0.5958473980426788,0.3706664741039276,4
29,2026-06-28T12:43:37,6.205279620621494,3.2910604786174567,0.0,0.0,0.0,0.3686153292655945,0.2556908428668976,0.41538213193416595,0.594097226858139,0.3706664741039276,3
