time,dir,s,r,o,rank_raw,rank_filter
0,fwd,0,17,33,1,1
0,fwd,177,48,56,14,14
0,fwd,13,0,0,1,1
0,fwd,1,1,0,2,2
0,fwd,102,13,3,1,1
0,fwd,11,45,1092,71,71
0,fwd,28,37,76,6,6
0,fwd,33,4,0,1,1
0,fwd,401,8,792,2,2
0,fwd,1958,4,5,1,1
0,fwd,973,7,403,1,1
0,fwd,5,4,11,1,1
0,fwd,19,18,17,1,1
0,fwd,15,0,83,2,2
0,fwd,1,5,14,1,1
0,fwd,1557,1,217,1,1
0,fwd,1,5,543,2,1
0,fwd,5,5,1958,1,1
0,fwd,14,3,6,2,1
0,fwd,111,2,3308,3455,3455
0,fwd,56,9,177,2,2
0,fwd,858,3,11,1,1
0,fwd,19,2,17,1,1
0,fwd,167,68,83,2,2
0,fwd,1239,1,2946,2,2
0,fwd,47,20,3,1,1
0,fwd,648,1,1548,9,9
0,fwd,26,3,6,3,2
0,fwd,10,13,0,1,1
0,fwd,34,28,491,1,1
0,fwd,543,4,1,6,6
0,fwd,186,10,2601,35,35
0,fwd,49,1,217,1,1
0,fwd,23,2,121,21,21
0,fwd,91,24,101,2,2
0,fwd,11,5,5,1,1
0,fwd,217,1,1557,1,1
0,fwd,238,35,117,4,4
0,fwd,14,2,99,173,172
0,fwd,14,3,26,1,1
0,fwd,14,3,99,115,112
0,fwd,160,20,3,1,1
0,fwd,1564,8,140,1,1
0,fwd,14,0,0,5,4
0,fwd,3,2,188,15,15
0,fwd,792,8,401,2,2
0,fwd,150,9,2599,44,44
0,fwd,3,36,47,9,9
0,fwd,123,2,202,5,5
0,fwd,303,1,14,7,7
0,fwd,256,8,8,5,5
0,fwd,44,41,3,1,1
0,fwd,28,25,172,91,90
0,fwd,6,1,22,1,1
0,fwd,3244,0,2234,55,55
0,fwd,403,4,973,1,1
0,fwd,0,5,14,6,4
0,fwd,14,2,0,13,13
0,fwd,772,0,28,1,1
0,fwd,69,47,96,3,3
0,fwd,160,1,47,1,1
0,fwd,2448,0,24,4,4
0,fwd,217,1,49,2,1
0,fwd,3,14,188,11,11
0,fwd,2140,0,3308,13,13
0,fwd,47,49,56,3,3
0,fwd,0,1,1,4,3
0,fwd,161,4,0,1,1
0,fwd,20,3,0,2,2
0,fwd,26,3,14,1,1
0,fwd,3,74,4898,321,321
0,fwd,6,3,26,2,1
0,fwd,27,4,34,3,3
0,fwd,2140,51,3308,4,4
0,fwd,278,0,80,1,1
0,fwd,8,5,375,1,1
0,fwd,2448,4,114,1,1
0,fwd,28,67,9,2,2
0,fwd,14,4,0,6,5
0,fwd,3477,6,140,1,1
0,fwd,346,6,177,1,1
0,fwd,50,5,4,1,1
0,fwd,147,7,91,1,1
0,fwd,70,55,46,16,16
0,fwd,564,3,50,37,37
0,fwd,210,9,34,81,81
0,fwd,560,1,109,3,3
0,fwd,1727,0,3612,115,115
0,fwd,673,2,3,1,1
0,fwd,973,5,403,1,1
0,fwd,0,11,1419,7,7
0,fwd,2946,1,1172,7,6
0,fwd,33,0,0,1,1
0,fwd,0,5,161,2,1
0,fwd,3831,0,1114,29,29
0,fwd,497,0,11,1,1
0,fwd,0,5,33,1,1
0,fwd,14,0,1,1,1
0,fwd,5220,1,4397,2,2
0,fwd,103,0,95,118,118
0,fwd,26,3,148,52,50
0,fwd,1260,6,1227,1,1
0,fwd,14,1,0,12,11
0,fwd,6,3,148,18,16
0,fwd,0,1,33,2,2
0,fwd,14,3,148,38,36
0,fwd,78,15,1417,13,13
0,fwd,4,4,50,1,1
0,fwd,1798,0,1162,27,27
0,fwd,11,23,7,1,1
0,fwd,3,42,213,5,5
0,fwd,2200,0,47,6,6
0,fwd,33,17,0,1,1
0,fwd,4397,1,5220,2,2
0,fwd,6,0,63,22,22
0,fwd,2548,0,20,1,1
0,fwd,2946,1,1239,1,1
0,fwd,33,1,0,2,2
0,fwd,140,10,980,1,1
0,fwd,22,1,6,1,1
0,fwd,1,7,8,1,1
0,fwd,14,4,1,2,2
0,fwd,420,38,9,2,2
0,fwd,253,0,555,7,7
0,fwd,34,5,27,5,5
0,fwd,93,6,511,2,2
0,fwd,6,3,14,1,1
0,fwd,432,0,0,1,1
0,fwd,297,25,2,1,1
0,fwd,2599,42,150,1,1
0,fwd,375,4,8,1,1
0,fwd,17,29,98,21,21
0,fwd,1557,1,49,3,2
0,fwd,564,3,23,127,126
0,fwd,531,2,56,3,3
0,fwd,28,25,2,1,1
