time,dir,s,r,o,rank_raw,rank_filter
0,fwd,459,1,471,7,7
0,fwd,5205,90,464,3,3
0,fwd,463,69,458,1,1
0,fwd,3093,63,57,1,1
0,fwd,17519,151,3881,52,52
0,fwd,4935,0,7803,68,68
0,fwd,2820,4,458,2,2
0,fwd,64,1,458,623,623
0,fwd,42,20,4145,1835,1829
0,fwd,42,20,19,2,1
0,fwd,42,20,1449,60,57
0,fwd,445,34,477,5,5
0,fwd,1323,0,344,3323,3323
0,fwd,100,28,390,41,41
0,fwd,455,0,765,49,46
0,fwd,44,20,4145,965,962
0,fwd,44,20,19,15,14
0,fwd,44,20,1449,85,83
0,fwd,9731,0,445,2,2
0,fwd,298,6,397,1,1
0,fwd,19,20,161,19,15
0,fwd,19,2,42,2,2
0,fwd,42,20,41,81,77
0,fwd,19,34,122,1,1
0,fwd,19,5,42,2,1
0,fwd,19,43,20,4,3
0,fwd,2274,1,44,39,39
0,fwd,21995,31,9096,4,4
0,fwd,9096,32,21995,2,2
0,fwd,8044,0,1125,4,4
0,fwd,2618,1,451,2,2
0,fwd,2618,15,451,3,3
0,fwd,970,1,451,11,11
0,fwd,3454,5,11779,2,2
0,fwd,4115,29,2211,4,4
0,fwd,3454,2,2211,1,1
0,fwd,50,51,80,2,2
0,fwd,50,52,80,2,2
0,fwd,4447,0,80,13,13
0,fwd,80,6,50,1,1
0,fwd,312,20,80,7,7
0,fwd,5248,40,163,2,2
0,fwd,19,5,396,7,1
0,fwd,19,20,42,1,1
0,fwd,19,5,391,1,1
0,fwd,306,32,21996,47,47
0,fwd,21996,31,306,3,3
0,fwd,972,62,306,6,6
0,fwd,6,47,2361,35,33
0,fwd,2361,47,6,29,29
0,fwd,788,0,260,1,1
0,fwd,373,20,50,1,1
0,fwd,465,1,459,1,1
0,fwd,112,25,460,1,1
0,fwd,460,25,112,1,1
0,fwd,251,20,66,1,1
0,fwd,66,6,65,19,19
0,fwd,415,59,906,1,1
0,fwd,906,59,415,2,2
0,fwd,300,0,6,14,13
0,fwd,53,76,224,6,3
0,fwd,53,76,8352,2,1
0,fwd,53,15,2187,3,2
0,fwd,53,76,168,3,1
0,fwd,224,76,53,2,2
0,fwd,8352,76,53,2,2
0,fwd,168,76,53,2,2
0,fwd,53,15,8422,124,118
0,fwd,8279,47,2694,1,1
0,fwd,2694,47,8279,2,2
0,fwd,511,47,3423,10,9
0,fwd,3423,47,511,4,3
0,fwd,3423,47,117,3,3
0,fwd,117,47,3423,6,4
0,fwd,44,6,377,62,61
0,fwd,44,6,455,7,7
0,fwd,122,34,45,29,28
0,fwd,19,20,382,5,3
0,fwd,19,20,20,4,3
0,fwd,1069,1,2780,2,2
0,fwd,1688,4,15312,37,37
0,fwd,414,2,391,11,10
0,fwd,414,40,391,7,7
0,fwd,9130,0,94,10,10
0,fwd,428,31,1000,1,1
0,fwd,1000,32,428,1,1
0,fwd,1000,0,1690,3,3
