time,dir,s,r,o,rank_raw,rank_filter
0,fwd,30,13,18,1,1
0,fwd,77,0,8,1,1
0,fwd,44,2,3,1,1
0,fwd,271,0,131,1,1
0,fwd,9,11,28,2,2
0,fwd,53,8,347,4,4
0,fwd,88,20,24,369,369
0,fwd,32,2,16,1,1
0,fwd,33,1,258,5,5
0,fwd,864,4,1,1,1
0,fwd,551,3,60,3,3
0,fwd,145,0,37,1,1
0,fwd,127,31,64,1,1
0,fwd,337,0,91,1,1
0,fwd,18,13,30,1,1
0,fwd,19,6,17,1,1
0,fwd,267,23,8,1,1
0,fwd,91,1,101,1,1
0,fwd,2843,35,585,68,68
0,fwd,2,2,9,1,1
0,fwd,40,27,33,1,1
0,fwd,109,3,0,2,2
0,fwd,54,21,1760,5,5
0,fwd,1897,1,469,29,29
0,fwd,41,15,37,10,10
0,fwd,886,0,201,40,40
0,fwd,102,2,842,60,60
0,fwd,107,36,332,3,3
0,fwd,964,0,297,9,9
0,fwd,14,0,1,1,1
0,fwd,82,6,17,65,65
0,fwd,299,52,1,1,1
0,fwd,6269,0,1963,6127,6127
0,fwd,3,21,225,1,1
0,fwd,2643,7,886,215,215
0,fwd,1,16,148,2,1
0,fwd,47,0,56,2,2
0,fwd,28,2,9,2,2
0,fwd,1132,1,181,2,2
0,fwd,53,0,287,2,2
0,fwd,1859,0,402,60,60
0,fwd,241,1,606,1,1
0,fwd,259,0,37,139,139
0,fwd,374,2,17,1,1
0,fwd,193,18,60,1,1
0,fwd,20,6,108,1,1
0,fwd,80,5,2756,2,2
0,fwd,16,14,36,1,1
0,fwd,42,0,8,1,1
0,fwd,18,15,30,2,2
0,fwd,64,34,127,1,1
0,fwd,40,27,258,3,2
0,fwd,54,11,1760,8,8
0,fwd,1536,6,2848,1,1
0,fwd,161,0,639,12,12
0,fwd,697,0,20,32,32
0,fwd,1,16,58,1,1
0,fwd,5,15,7,4,4
0,fwd,677,2,9,5,5
0,fwd,12,3,37,1,1
0,fwd,101,36,91,1,1
0,fwd,1137,1,3919,1,1
0,fwd,137,0,812,1,1
0,fwd,255,43,786,329,329
0,fwd,28,25,2,1,1
0,fwd,875,0,205,35,35
0,fwd,2203,1,102,1,1
0,fwd,22,3,342,1,1
0,fwd,13,17,4,1,1
0,fwd,3726,17,2314,1,1
0,fwd,102,1,2203,1,1
0,fwd,1568,0,5155,5286,5286
0,fwd,1860,1,886,56,56
0,fwd,19,8,17,1,1
0,fwd,446,9,204,1,1
0,fwd,33,27,258,3,2
0,fwd,608,7,49,44,44
0,fwd,572,9,333,7,7
0,fwd,170,0,4369,5748,5748
0,fwd,936,0,353,2,2
0,fwd,825,20,150,1,1
0,fwd,309,9,2,1,1
0,fwd,421,9,793,252,252
0,fwd,66,16,179,2,2
0,fwd,1058,1,1366,20,20
0,fwd,3349,0,687,2,2
0,fwd,714,0,134,1,1
0,fwd,0,0,626,595,595
0,fwd,98,0,1516,579,579
0,fwd,717,10,32,1,1
0,fwd,218,7,1,1,1
0,fwd,14,1,26,1,1
0,fwd,3724,1,4621,1,1
0,fwd,3,49,44,6,6
0,fwd,1449,8,27,2,2
0,fwd,101,1,91,1,1
0,fwd,15,0,167,3,3
0,fwd,47,7,56,4,4
0,fwd,38,0,11,13,13
0,fwd,469,1,1897,36,36
0,fwd,298,1,3403,4,4
0,fwd,1366,1,1058,17,17
0,fwd,2756,1,541,5,5
0,fwd,407,10,563,2,2
0,fwd,2,10,746,27,27
0,fwd,258,1,72,2,2
0,fwd,3919,0,104,2,2
0,fwd,0,3,5,2,2
0,fwd,225,21,3,1,1
0,fwd,1,5,864,1,1
0,fwd,849,28,500,2210,2210
0,fwd,1436,0,58,26,26
0,fwd,149,0,86,1,1
0,fwd,254,10,15,1,1
0,fwd,165,2,32,4,4
0,fwd,122,0,61,1,1
0,fwd,26,1,14,1,1
0,fwd,2,28,3934,4030,4030
0,fwd,91,31,101,1,1
0,fwd,28,26,9,3,3
0,fwd,2314,17,3726,1,1
0,fwd,24,5,33,2,2
0,fwd,3,21,977,33,32
0,fwd,825,20,226,6,5
0,fwd,40,4,24,1,1
0,fwd,179,16,66,3,3
0,fwd,1,13,148,1,1
0,fwd,271,1,131,1,1
0,fwd,1262,0,1844,61,61
0,fwd,3207,28,441,8,8
0,fwd,4237,2,364,1,1
0,fwd,606,0,75,3659,3659
0,fwd,772,14,591,22,22
0,fwd,199,7,281,45,45
0,fwd,0,16,5,5,5
0,fwd,324,1,638,5,5
0,fwd,205,7,106,24,24
0,fwd,2483,10,156,1,1
0,fwd,657,4,1,1,1
0,fwd,7,5,11,1,1
0,fwd,258,15,24,1,1
0,fwd,10,16,196,4,4
0,fwd,203,3,178,16,16
0,fwd,3,28,1326,19,19
0,fwd,258,1,33,14,13
0,fwd,22,1,342,1,1
0,fwd,64,11,127,1,1
0,fwd,330,10,2,1,1
