time,dir,s,r,o,rank_raw,rank_filter
0,fwd,0,6,5,6,6
0,fwd,0,5,322,3,3
0,fwd,490,16,8,1,1
0,fwd,0,10,11,1,1
0,fwd,653,0,1,1,1
0,fwd,73,18,178,1,1
0,fwd,138,24,1112,7,7
0,fwd,2,1,0,1,1
0,fwd,1510,40,7848,41,41
0,fwd,112,7,4,1,1
0,fwd,163,6,246,2,2
0,fwd,0,6,3333,13,12
0,fwd,88,6,171,1,1
0,fwd,593,1,130,1,1
0,fwd,130,1,593,1,1
0,fwd,0,1,2,1,1
0,fwd,14,8,132,1,1
0,fwd,24,22,175,1,1
0,fwd,9,17,776,842,842
0,fwd,88,6,551,2,1
0,fwd,91,16,133,1,1
0,fwd,1754,24,10,20,20
0,fwd,241,3,2035,1,1
0,fwd,10,5,653,1,1
0,fwd,700,0,1,1,1
0,fwd,901,0,137,2,2
0,fwd,11,1,0,1,1
0,fwd,0,12,11,1,1
0,fwd,16,6,34,1,1
0,fwd,163,0,4014,423,423
0,fwd,371,0,653,30,30
0,fwd,133,6,91,1,1
0,fwd,11,12,0,1,1
0,fwd,653,4,10,1,1
0,fwd,452,12,11,1,1
0,fwd,6044,0,185,1321,1321
0,fwd,11,62,0,1,1
0,fwd,132,15,27,1,1
0,fwd,6,3,5,1,1
0,fwd,452,4,11,1,1
0,fwd,6,9,5,1,1
0,fwd,11,5,452,1,1
0,fwd,29,20,894,19,19
0,fwd,0,1,11,2,1
0,fwd,14,13,906,1,1
0,fwd,175,22,24,1,1
0,fwd,653,0,10,2,1
0,fwd,2,4,1,2,2
0,fwd,186,3,670,9,9
0,fwd,138,3,1112,5,5
0,fwd,38,19,472,2,2
0,fwd,322,4,0,1,1
0,fwd,259,16,522,2,2
0,fwd,513,45,29,1,1
0,fwd,2,2,0,1,1
0,fwd,6608,8,657,2606,2606
0,fwd,1,5,2,2,2
0,fwd,48,0,1792,15,15
0,fwd,11,10,0,1,1
0,fwd,0,56,1489,7,7
0,fwd,7971,30,302,1,1
0,fwd,5608,0,23,61,61
0,fwd,145,0,22,2,2
0,inv,5,257,0,7,7
0,inv,322,256,0,2,2
0,inv,8,267,490,2,2
0,inv,11,261,0,1,1
0,inv,1,251,653,2,2
0,inv,178,269,73,1,1
0,inv,1112,275,138,2,2
0,inv,0,252,2,2,1
0,inv,7848,291,1510,16,16
0,inv,4,258,112,20,20
0,inv,246,257,163,6,6
0,inv,3333,257,0,1,1
0,inv,171,257,88,1,1
0,inv,130,252,593,1,1
0,inv,593,252,130,1,1
0,inv,2,252,0,1,1
0,inv,132,259,14,1,1
0,inv,175,273,24,1,1
0,inv,776,268,9,41,41
0,inv,551,257,88,1,1
0,inv,133,267,91,2,2
0,inv,10,275,1754,1496,1496
0,inv,2035,254,241,1,1
0,inv,653,256,10,1,1
0,inv,1,251,700,3,2
0,inv,137,251,901,33,33
0,inv,0,252,11,1,1
0,inv,11,263,0,1,1
0,inv,34,257,16,1,1
0,inv,4014,251,163,20,20
0,inv,653,251,371,697,697
0,inv,91,257,133,1,1
0,inv,0,263,11,1,1
0,inv,10,255,653,1,1
0,inv,11,263,452,3,2
0,inv,185,251,6044,6205,6205
0,inv,0,313,11,1,1
0,inv,27,266,132,1,1
0,inv,5,254,6,1,1
0,inv,11,255,452,1,1
0,inv,5,260,6,1,1
0,inv,452,256,11,1,1
0,inv,894,271,29,1,1
0,inv,11,252,0,1,1
0,inv,906,264,14,1,1
0,inv,24,273,175,1,1
0,inv,10,251,653,2,2
0,inv,1,255,2,2,2
0,inv,670,254,186,6,6
0,inv,1112,254,138,1,1
0,inv,472,270,38,1,1
0,inv,0,255,322,1,1
0,inv,522,267,259,1,1
0,inv,29,296,513,1,1
0,inv,0,253,2,1,1
0,inv,657,259,6608,9135,9135
0,inv,2,256,1,3,3
0,inv,1792,251,48,1,1
0,inv,0,261,11,1,1
0,inv,1489,307,0,1,1
0,inv,302,281,7971,6,6
0,inv,23,251,5608,10156,10156
0,inv,22,251,145,1,1
1,fwd,17,0,236,2,2
1,fwd,50,102,12,6,6
1,fwd,56,1,10,1,1
1,fwd,224,16,29,1,1
1,fwd,686,7,19,1,1
1,fwd,48,6,160,1,1
1,fwd,0,29,322,12,12
1,fwd,0,14,2,1,1
1,fwd,1,11,0,3,3
1,fwd,944,10,9,1,1
1,fwd,28,0,0,1,1
1,fwd,1319,9,7261,10119,10119
1,fwd,485,31,122,1,1
1,fwd,1047,4,10,1,1
