time,dir,s,r,o,rank_raw,rank_filter
0,fwd,459,1,471,2,2
0,fwd,5205,90,464,3,3
0,fwd,463,69,458,2,2
0,fwd,3093,63,57,1,1
0,fwd,17519,151,3881,17,17
0,fwd,4935,0,7803,56,56
0,fwd,2820,4,458,1,1
0,fwd,64,1,458,426,426
0,fwd,42,20,4145,530,524
0,fwd,42,20,19,1,1
0,fwd,42,20,1449,87,84
0,fwd,445,34,477,8,8
0,fwd,1323,0,344,835,835
0,fwd,100,28,390,36,36
0,fwd,455,0,765,39,36
0,fwd,44,20,4145,430,427
0,fwd,44,20,19,7,6
0,fwd,44,20,1449,40,38
0,fwd,9731,0,445,1,1
0,fwd,298,6,397,1,1
0,fwd,19,20,161,29,25
0,fwd,19,2,42,2,2
0,fwd,42,20,41,98,94
0,fwd,19,34,122,1,1
0,fwd,19,5,42,1,1
0,fwd,19,43,20,4,3
0,fwd,2274,1,44,10,10
0,fwd,21995,31,9096,1,1
0,fwd,9096,32,21995,1,1
0,fwd,8044,0,1125,3,3
0,fwd,2618,1,451,4,4
0,fwd,2618,15,451,1,1
0,fwd,970,1,451,1,1
0,fwd,3454,5,11779,2,2
0,fwd,4115,29,2211,3,3
0,fwd,3454,2,2211,4,4
0,fwd,50,51,80,2,2
0,fwd,50,52,80,2,2
0,fwd,4447,0,80,6,6
0,fwd,80,6,50,1,1
0,fwd,312,20,80,16,16
0,fwd,5248,40,163,1,1
0,fwd,19,5,396,6,1
0,fwd,19,20,42,1,1
0,fwd,19,5,391,2,1
0,fwd,306,32,21996,24,24
0,fwd,21996,31,306,3,3
0,fwd,972,62,306,7,7
0,fwd,6,47,2361,21,20
0,fwd,2361,47,6,36,36
0,fwd,788,0,260,1,1
0,fwd,373,20,50,2,2
0,fwd,465,1,459,1,1
0,fwd,112,25,460,1,1
0,fwd,460,25,112,1,1
0,fwd,251,20,66,3,2
0,fwd,66,6,65,11,11
0,fwd,415,59,906,1,1
0,fwd,906,59,415,1,1
0,fwd,300,0,6,12,11
0,fwd,53,76,224,6,3
0,fwd,53,76,8352,2,1
0,fwd,53,15,2187,5,3
0,fwd,53,76,168,3,1
0,fwd,224,76,53,6,6
0,fwd,8352,76,53,4,4
0,fwd,168,76,53,3,3
0,fwd,53,15,8422,326,318
0,fwd,8279,47,2694,2,2
0,fwd,2694,47,8279,2,2
0,fwd,511,47,3423,10,9
0,fwd,3423,47,511,16,15
0,fwd,3423,47,117,1,1
0,fwd,117,47,3423,1,1
0,fwd,44,6,377,48,47
0,fwd,44,6,455,6,6
0,fwd,122,34,45,11,10
0,fwd,19,20,382,5,3
0,fwd,19,20,20,3,2
0,fwd,1069,1,2780,1,1
0,fwd,1688,4,15312,30,30
0,fwd,414,2,391,6,5
0,fwd,414,40,391,6,6
0,fwd,9130,0,94,7,7
0,fwd,428,31,1000,1,1
0,fwd,1000,32,428,1,1
0,fwd,1000,0,1690,1,1
0,fwd,2780,32,66,10,10
0,fwd,66,31,2780,17,8
0,fwd,2780,0,80,19,18
0,fwd,97,66,6,34,34
0,fwd,463,5,22,52,51
0,fwd,463,5,459,1,1
0,fwd,463,88,22,185,185
0,fwd,13544,4,3780,3,3
0,fwd,13544,20,3780,3,3
0,fwd,13544,6,164,3,3
0,fwd,11013,6,3780,6,6
0,fwd,11013,20,164,3,3
0,fwd,11013,1,8778,7,7
0,fwd,14,20,1175,7,7
0,fwd,15,4,9787,22,21
0,fwd,1437,31,3810,8,8
0,fwd,3810,32,1437,21,21
0,fwd,10275,47,3810,23,23
0,fwd,3810,47,10275,18,17
0,fwd,3810,27,10275,174,174
0,fwd,3810,0,145,1,1
0,fwd,10149,47,3810,62,62
0,fwd,3810,47,10149,82,79
0,fwd,5115,0,428,1660,1659
0,fwd,145,8,3398,393,392
0,fwd,5115,0,145,1,1
0,fwd,6061,1,5128,718,718
0,fwd,6061,15,5128,474,474
0,fwd,3818,47,5128,78,78
0,fwd,5128,47,3818,88,88
0,fwd,294,0,729,120,120
0,fwd,51,5,516,4,4
0,fwd,1,163,66,1,1
0,fwd,66,163,1,1,1
0,fwd,80,15,0,2,2
0,fwd,21997,65,701,1391,1391
0,fwd,19,0,1509,56,49
0,fwd,122,31,80,23,22
0,fwd,80,32,122,62,62
0,fwd,397,1,80,72,72
0,fwd,122,31,66,39,37
0,fwd,66,32,122,71,71
0,fwd,452,43,42,1,1
0,fwd,524,5,9,1,1
0,fwd,1896,0,329,2,2
0,fwd,1666,0,524,3,2
0,fwd,8,5,4527,3,2
0,fwd,8,57,698,4,4
0,fwd,1666,0,8,20,18
0,fwd,698,28,13,11,11
0,fwd,50,20,66,1,1
0,fwd,1068,5,15,1,1
0,fwd,66,7,5383,39,39
0,fwd,10614,8,5383,241,241
0,fwd,1887,47,7293,4,4
0,fwd,7293,47,5802,26,25
0,fwd,7293,47,1887,5,5
0,fwd,5802,47,7293,24,24
0,fwd,1437,47,3810,19,19
0,fwd,3810,47,1437,43,41
0,fwd,91,47,3810,21,21
0,fwd,3810,47,91,6,6
0,fwd,3810,8,91,24,24
0,fwd,6,12,263,157,157
0,fwd,3810,57,219,53,53
0,fwd,2618,1,1057,8,7
0,fwd,397,15,452,211,209
0,fwd,411,1,280,2,2
0,fwd,411,0,400,3,3
0,fwd,42,6,574,31,28
0,fwd,19,5,125,3,1
0,fwd,407,38,42,2,2
0,fwd,391,1,6293,42,42
0,fwd,19,5,20,5,1
0,fwd,189,1,42,1,1
0,fwd,42,19,122,2,1
0,fwd,122,5,42,1,1
0,fwd,1522,10,844,9,9
0,fwd,1522,10,3354,2514,2513
0,fwd,3354,8,1522,1,1
0,fwd,844,6,3738,21,21
0,fwd,3738,142,1522,1,1
0,fwd,5299,0,8060,2877,2877
0,fwd,2562,0,1937,3,3
0,fwd,157,1,3584,13,13
0,fwd,240,32,66,4,4
0,fwd,924,0,732,1,1
0,fwd,66,31,240,31,18
0,fwd,28,31,636,29,25
0,fwd,636,32,28,7,7
0,fwd,1522,1,53,13,13
0,fwd,1522,15,53,11,11
0,fwd,117,76,260,23,22
0,fwd,260,76,117,11,10
0,fwd,28,25,260,1,1
0,fwd,260,25,28,1,1
0,fwd,251,27,117,4,4
0,fwd,117,27,251,14,14
0,fwd,6771,39,564,1,1
0,fwd,8388,39,564,1,1
0,fwd,6771,66,564,1,1
0,fwd,177,1,1558,1,1
0,fwd,1111,32,66,2,2
0,fwd,66,31,1111,1,1
0,fwd,1111,0,2879,1,1
0,fwd,1111,8,66,2,2
0,fwd,4115,142,1142,7,7
0,fwd,4115,5,343,1,1
0,fwd,0,47,2874,6,6
0,fwd,2874,47,0,1,1
0,fwd,2694,0,2874,99,99
0,fwd,13,4,8,1,1
0,fwd,13,4,698,4,3
0,fwd,251,0,65,2,1
0,fwd,221,8,345,22,21
0,fwd,221,47,251,12,9
0,fwd,251,47,221,1,1
0,fwd,221,25,63,27,27
0,fwd,63,25,221,57,57
0,fwd,1411,5,2750,1,1
0,fwd,4977,97,428,35,34
0,fwd,787,20,66,3,3
0,fwd,260,41,190,4,3
0,fwd,190,41,260,1,1
0,fwd,787,0,4735,134,133
0,fwd,787,32,66,10,7
0,fwd,66,31,787,37,22
0,fwd,1988,0,636,1,1
0,fwd,1988,0,6436,17,16
0,fwd,8440,50,6436,1,1
0,fwd,159,29,48,1,1
0,fwd,555,27,48,1,1
0,fwd,19,14,1958,23,23
0,fwd,565,0,161,17,17
0,fwd,19,0,161,12,10
0,fwd,42,1,445,2,1
0,fwd,19,0,17746,287,279
0,fwd,42,41,19,5,5
0,fwd,40,19,57,1,1
0,fwd,415,47,1691,1,1
0,fwd,415,47,7592,23,22
0,fwd,1691,47,415,7,6
0,fwd,7592,47,415,9,8
0,fwd,38,25,2455,12,11
0,fwd,2455,25,38,29,29
0,fwd,701,32,182,1,1
0,fwd,182,31,701,1,1
0,fwd,11852,25,11369,3,2
0,fwd,11369,25,11852,3,3
0,fwd,182,15,38,5,5
0,fwd,400,0,445,9,8
0,fwd,663,47,3291,47,46
0,fwd,663,32,66,1,1
0,fwd,663,47,1557,11,11
0,fwd,3291,47,663,54,54
0,fwd,66,31,663,4,2
0,fwd,1557,47,663,26,26
0,fwd,3740,8,3739,13,13
0,fwd,2893,108,6,1,1
0,fwd,6,107,2893,1,1
0,fwd,50,31,255,3,3
0,fwd,255,32,50,1,1
0,fwd,7509,47,2163,2,2
0,fwd,2163,47,7509,1,1
0,fwd,221,4,6,10,10
0,fwd,50,32,1437,31,31
0,fwd,28,32,1437,62,61
0,fwd,1437,31,50,31,30
0,fwd,1437,31,28,84,82
0,fwd,80,0,50,2,2
0,fwd,3183,1,187,1,1
0,fwd,3183,8,187,1,1
0,fwd,529,1,3208,263,263
0,fwd,1400,19,57,1,1
0,fwd,21998,0,127,16,16
0,fwd,956,0,126,28,28
0,fwd,956,47,126,75,75
0,fwd,126,47,956,60,60
0,fwd,1152,36,187,1,1
0,fwd,373,47,10067,67,67
0,fwd,10067,47,373,16,15
0,fwd,187,6,621,3,3
0,fwd,1,41,67,1,1
0,fwd,67,41,1,1,1
0,fwd,0,41,157,1,1
0,fwd,157,41,0,1,1
0,fwd,3094,25,3193,1,1
0,fwd,3193,25,3094,1,1
0,fwd,1333,47,596,8,8
0,fwd,596,47,1333,24,22
0,fwd,511,47,115,37,35
0,fwd,115,47,511,97,97
0,fwd,1101,0,530,16,16
0,fwd,50,8,6,9,9
0,fwd,642,0,729,33,31
0,fwd,642,4,729,24,24
0,fwd,2265,8,7131,71,70
0,fwd,32,47,14423,1,1
0,fwd,14423,47,32,1,1
0,fwd,1923,1,1340,2,2
0,fwd,664,20,63,47,47
0,fwd,1730,25,123,2,1
0,fwd,123,25,1730,1,1
0,fwd,765,6,19,2,2
0,fwd,1730,12,123,4,4
0,fwd,445,30,20,6,6
0,fwd,123,47,91,62,62
0,fwd,91,8,1729,176,176
0,fwd,91,47,123,105,103
0,fwd,66,31,123,11,4
0,fwd,123,32,66,6,6
0,fwd,906,52,65,4,4
0,fwd,221,1,6,4,4
0,fwd,187,6,7197,92,91
0,fwd,15,4,5700,18,18
0,fwd,4311,6,1946,2,2
0,fwd,511,0,636,7,4
0,fwd,511,0,50,1,1
0,fwd,1131,0,636,24,23
0,fwd,1131,0,50,1,1
0,fwd,511,47,1691,1,1
0,fwd,1691,47,511,6,6
0,fwd,50,12,636,1,1
0,fwd,12014,1,6,7,7
0,fwd,2467,32,66,16,16
0,fwd,66,31,2467,41,25
0,fwd,5444,41,2467,1,1
0,fwd,5444,8,2467,1,1
0,fwd,80,41,1522,1,1
0,fwd,1522,41,80,1,1
0,fwd,1691,41,511,1,1
0,fwd,511,41,1691,1,1
0,fwd,729,93,1,1,1
0,fwd,221,20,63,3,3
0,fwd,251,20,65,1,1
0,fwd,66,0,74,7,6
0,fwd,2548,5,1601,10,10
0,fwd,399,0,473,11,11
0,fwd,7553,0,473,36,36
0,fwd,1086,0,577,11,11
0,fwd,1497,6,50,1,1
0,fwd,66,31,1522,3,2
0,fwd,80,76,1522,1,1
0,fwd,1522,32,66,7,7
0,fwd,1522,76,80,1,1
0,fwd,1513,0,636,1,1
0,fwd,1513,0,66,5,4
0,fwd,397,32,38,5,4
0,fwd,38,31,397,13,13
0,fwd,182,0,5342,37,37
0,fwd,5342,2,14082,3,3
0,fwd,819,0,5342,9,9
0,fwd,681,59,10067,1,1
0,fwd,10067,59,681,1,1
0,fwd,6,1,28,7,7
0,fwd,970,67,28,27,27
0,fwd,8994,47,53,2,1
0,fwd,53,47,8994,4,4
0,fwd,53,47,798,7,6
0,fwd,798,47,53,2,2
0,fwd,662,47,8994,17,16
0,fwd,8994,47,662,16,12
0,fwd,53,135,8994,8,8
0,fwd,10715,0,4511,103,103
0,fwd,10714,23,240,351,351
0,fwd,65,17,98,3,3
0,fwd,98,17,65,1,1
0,fwd,4797,6,1111,10,10
0,fwd,1415,15,598,8,8
0,fwd,127,8,578,71,71
0,fwd,4890,0,66,19,19
0,fwd,1629,0,158,207,206
0,fwd,1629,0,182,20,20
0,fwd,4357,28,63,7,6
0,fwd,3810,0,21999,147,146
0,fwd,1522,0,1604,10,10
0,fwd,839,4,390,9,9
0,fwd,839,8,445,6,6
0,fwd,390,6,42,1,1
0,fwd,19,29,1958,99,96
0,fwd,405,6,400,3,2
0,fwd,405,0,122,2,2
0,fwd,42,77,122,1,1
0,fwd,42,22,44,9,9
0,fwd,486,47,787,2,2
0,fwd,787,47,486,1,1
0,fwd,117,1,5186,656,654
0,fwd,117,15,5186,487,486
0,fwd,117,0,28,1,1
0,fwd,117,47,2681,4,2
0,fwd,2681,47,117,7,7
0,fwd,563,5,2772,4,2
0,fwd,563,5,562,1,1
0,fwd,4070,5,1277,1,1
0,fwd,3579,15,847,882,882
0,fwd,712,15,2683,427,424
0,fwd,712,15,19633,57,55
0,fwd,712,15,21733,33,32
0,fwd,712,15,847,1,1
0,fwd,170,134,20,6,6
0,fwd,251,6,65,3,2
0,fwd,122,30,20,4,4
0,fwd,122,34,20,3,3
0,fwd,91,47,4697,61,60
0,fwd,4697,47,91,33,33
0,fwd,126,8,577,24,24
0,fwd,126,8,3932,226,225
0,fwd,126,1,621,23,23
0,fwd,126,0,127,1,1
0,fwd,50,31,157,18,16
0,fwd,157,32,50,3,1
0,fwd,67,76,66,1,1
0,fwd,66,76,67,1,1
0,fwd,642,1,66,1,1
0,fwd,6987,0,50,1,1
0,fwd,1501,68,1137,1,1
0,fwd,58,67,1137,4,4
0,fwd,345,0,3280,68,68
0,fwd,80,20,3280,16,13
0,fwd,80,71,3276,1,1
0,fwd,80,0,74,13,11
0,fwd,784,5,7390,1,1
0,fwd,10099,0,5970,1,1
0,fwd,42,6,122,2,1
0,fwd,10262,6,122,2,2
0,fwd,63,20,158,5,4
0,fwd,63,20,182,1,1
0,fwd,3094,41,3193,1,1
0,fwd,3193,41,3094,1,1
0,fwd,811,47,117,16,16
0,fwd,117,47,811,11,7
0,fwd,117,12,1937,434,434
0,fwd,21329,0,6,17,16
0,fwd,21329,0,61,13,13
0,fwd,22000,0,111,1,1
0,fwd,414,2,42,2,2
0,fwd,70,0,317,152,151
0,fwd,1729,25,1730,1,1
0,fwd,1730,25,1729,1,1
0,fwd,1146,0,123,1,1
0,fwd,625,0,174,6,6
0,fwd,1774,15,50,33,33
0,fwd,22001,7,5383,35,35
0,fwd,22001,8,901,13414,13414
0,fwd,22001,0,145,133,133
0,fwd,5502,8,145,154,154
0,fwd,2265,8,66,3,3
0,fwd,240,17,66,2,2
0,fwd,66,17,240,3,2
0,fwd,144,40,240,1,1
0,fwd,53,32,142,3,2
0,fwd,142,31,53,1,1
0,fwd,53,15,142,4,3
0,fwd,53,47,2899,16,13
0,fwd,2899,47,53,3,3
0,fwd,599,0,960,70,70
0,fwd,405,8,411,8,8
0,fwd,4908,31,787,10,10
0,fwd,4908,8,787,4,4
0,fwd,787,32,4908,3,2
0,fwd,486,6,259,1,1
0,fwd,787,20,802,5,4
0,fwd,7032,15,1729,1,1
0,fwd,851,47,8090,21,21
0,fwd,8090,47,851,43,43
0,fwd,568,1,1611,195,195
0,fwd,187,1,9007,68,68
0,fwd,7353,74,618,6,6
0,fwd,187,6,6908,125,123
0,fwd,22002,99,548,1,1
0,fwd,621,1,187,1,1
0,fwd,621,41,187,1,1
0,fwd,14,5,26,1,1
0,fwd,28,5,732,56,53
0,fwd,28,37,732,20,20
0,fwd,240,75,732,8,8
0,fwd,595,25,10798,1,1
0,fwd,10798,25,595,1,1
0,fwd,423,8,986,44,44
0,fwd,2780,0,520,2,2
0,fwd,3666,47,345,9,9
0,fwd,345,47,3666,6,6
0,fwd,8994,32,2187,2,2
0,fwd,8994,47,168,4,2
0,fwd,2187,31,8994,3,3
0,fwd,168,47,8994,5,5
0,fwd,7883,8,6098,198,198
0,fwd,259,20,66,4,4
0,fwd,787,0,66,3,3
0,fwd,115,22,1340,90,90
0,fwd,1086,20,579,21,21
0,fwd,3167,0,20954,16494,16494
0,fwd,7321,0,6041,49,49
0,fwd,6685,0,127,2,2
0,fwd,2100,4,313,1,1
0,fwd,2100,0,897,1,1
0,fwd,3169,0,620,9,9
0,fwd,126,12,621,24,24
0,fwd,20235,1,187,1,1
0,fwd,14,69,15,3,3
0,fwd,9384,17,50,1,1
0,fwd,50,17,9384,2,2
0,fwd,221,6,3233,117,117
0,fwd,28,113,321,10,10
0,fwd,117,15,28,8,8
0,fwd,798,15,28,4,4
0,fwd,937,12,28,2,2
0,fwd,1881,15,300,46,46
0,fwd,53,41,787,2,2
0,fwd,787,41,53,2,2
0,fwd,210,0,191,2,2
0,fwd,64,20,28,1,1
0,fwd,1382,15,2361,144,143
0,fwd,486,0,802,2,2
0,fwd,260,20,843,1,1
0,fwd,4070,5,4918,3,2
0,fwd,5840,3,13,2,2
0,fwd,9,3,13,2,2
0,fwd,3964,20,13,1,1
0,fwd,9,20,13,1,1
