time,dir,s,r,o,rank_raw,rank_filter
0,fwd,459,1,471,4,4
0,fwd,5205,90,464,2,2
0,fwd,463,69,458,2,2
0,fwd,3093,63,57,1,1
0,fwd,17519,151,3881,12,12
0,fwd,4935,0,7803,40,40
0,fwd,2820,4,458,1,1
0,fwd,64,1,458,239,239
0,fwd,42,20,4145,722,716
0,fwd,42,20,19,2,1
0,fwd,42,20,1449,91,87
0,fwd,445,34,477,5,5
0,fwd,1323,0,344,1128,1128
0,fwd,100,28,390,26,26
0,fwd,455,0,765,39,36
0,fwd,44,20,4145,432,429
0,fwd,44,20,19,12,11
0,fwd,44,20,1449,60,58
0,fwd,9731,0,445,1,1
0,fwd,298,6,397,1,1
0,fwd,19,20,161,27,23
0,fwd,19,2,42,2,2
0,fwd,42,20,41,64,61
0,fwd,19,34,122,1,1
0,fwd,19,5,42,1,1
0,fwd,19,43,20,4,3
0,fwd,2274,1,44,10,10
0,fwd,21995,31,9096,2,2
0,fwd,9096,32,21995,1,1
0,fwd,8044,0,1125,11,11
0,fwd,2618,1,451,9,9
0,fwd,2618,15,451,4,4
0,fwd,970,1,451,1,1
0,fwd,3454,5,11779,2,2
0,fwd,4115,29,2211,3,3
0,fwd,3454,2,2211,3,3
0,fwd,50,51,80,1,1
0,fwd,50,52,80,2,2
0,fwd,4447,0,80,7,7
0,fwd,80,6,50,1,1
0,fwd,312,20,80,5,5
0,fwd,5248,40,163,1,1
0,fwd,19,5,396,7,1
0,fwd,19,20,42,1,1
0,fwd,19,5,391,3,1
0,fwd,306,32,21996,25,25
0,fwd,21996,31,306,14,14
0,fwd,972,62,306,2,2
0,fwd,6,47,2361,20,19
0,fwd,2361,47,6,71,71
0,fwd,788,0,260,1,1
0,fwd,373,20,50,1,1
0,fwd,465,1,459,1,1
0,fwd,112,25,460,1,1
0,fwd,460,25,112,1,1
0,fwd,251,20,66,3,1
0,fwd,66,6,65,7,7
0,fwd,415,59,906,1,1
0,fwd,906,59,415,1,1
0,fwd,300,0,6,12,11
0,fwd,53,76,224,12,9
0,fwd,53,76,8352,1,1
0,fwd,53,15,2187,10,7
0,fwd,53,76,168,3,1
0,fwd,224,76,53,6,6
0,fwd,8352,76,53,1,1
0,fwd,168,76,53,2,2
0,fwd,53,15,8422,612,604
0,fwd,8279,47,2694,6,6
0,fwd,2694,47,8279,1,1
0,fwd,511,47,3423,18,17
0,fwd,3423,47,511,16,15
0,fwd,3423,47,117,2,2
0,fwd,117,47,3423,2,1
0,fwd,44,6,377,64,63
0,fwd,44,6,455,7,7
0,fwd,122,34,45,12,11
0,fwd,19,20,382,5,3
0,fwd,19,20,20,4,3
0,fwd,1069,1,2780,1,1
0,fwd,1688,4,15312,18,18
0,fwd,414,2,391,5,4
0,fwd,414,40,391,3,3
0,fwd,9130,0,94,7,7
0,fwd,428,31,1000,1,1
0,fwd,1000,32,428,1,1
0,fwd,1000,0,1690,1,1
0,fwd,2780,32,66,8,8
0,fwd,66,31,2780,24,12
0,fwd,2780,0,80,57,56
0,fwd,97,66,6,16,16
0,fwd,463,5,22,67,66
0,fwd,463,5,459,1,1
0,fwd,463,88,22,123,123
0,fwd,13544,4,3780,1,1
0,fwd,13544,20,3780,2,2
0,fwd,13544,6,164,3,3
0,fwd,11013,6,3780,2,2
0,fwd,11013,20,164,7,7
0,fwd,11013,1,8778,5,5
0,fwd,14,20,1175,15,15
0,fwd,15,4,9787,15,15
0,fwd,1437,31,3810,27,27
0,fwd,3810,32,1437,21,21
0,fwd,10275,47,3810,28,28
0,fwd,3810,47,10275,8,8
0,fwd,3810,27,10275,72,72
0,fwd,3810,0,145,1,1
0,fwd,10149,47,3810,53,53
0,fwd,3810,47,10149,21,20
0,fwd,5115,0,428,1017,1016
0,fwd,145,8,3398,126,125
0,fwd,5115,0,145,1,1
0,fwd,6061,1,5128,503,503
0,fwd,6061,15,5128,637,637
0,fwd,3818,47,5128,77,77
0,fwd,5128,47,3818,54,54
0,fwd,294,0,729,77,77
0,fwd,51,5,516,4,4
0,fwd,1,163,66,1,1
0,fwd,66,163,1,1,1
0,fwd,80,15,0,2,2
0,fwd,21997,65,701,863,863
0,fwd,19,0,1509,35,29
0,fwd,122,31,80,24,22
0,fwd,80,32,122,113,113
0,fwd,397,1,80,101,101
0,fwd,122,31,66,19,18
0,fwd,66,32,122,88,88
0,fwd,452,43,42,1,1
0,fwd,524,5,9,1,1
0,fwd,1896,0,329,5,5
0,fwd,1666,0,524,2,1
0,fwd,8,5,4527,2,1
0,fwd,8,57,698,5,5
0,fwd,1666,0,8,13,11
0,fwd,698,28,13,4,4
0,fwd,50,20,66,1,1
0,fwd,1068,5,15,1,1
0,fwd,66,7,5383,106,106
0,fwd,10614,8,5383,739,739
0,fwd,1887,47,7293,34,34
0,fwd,7293,47,5802,39,38
0,fwd,7293,47,1887,27,27
0,fwd,5802,47,7293,19,19
0,fwd,1437,47,3810,55,55
0,fwd,3810,47,1437,61,58
0,fwd,91,47,3810,80,78
0,fwd,3810,47,91,45,43
0,fwd,3810,8,91,86,86
0,fwd,6,12,263,104,104
0,fwd,3810,57,219,18,18
0,fwd,2618,1,1057,24,23
0,fwd,397,15,452,274,272
0,fwd,411,1,280,3,3
0,fwd,411,0,400,3,3
0,fwd,42,6,574,32,29
0,fwd,19,5,125,2,1
0,fwd,407,38,42,1,1
0,fwd,391,1,6293,97,97
0,fwd,19,5,20,5,1
0,fwd,189,1,42,1,1
0,fwd,42,19,122,3,2
0,fwd,122,5,42,1,1
0,fwd,1522,10,844,5,5
0,fwd,1522,10,3354,1064,1063
0,fwd,3354,8,1522,8,8
0,fwd,844,6,3738,20,20
0,fwd,3738,142,1522,1,1
0,fwd,5299,0,8060,6286,6286
0,fwd,2562,0,1937,4,4
0,fwd,157,1,3584,24,24
0,fwd,240,32,66,6,6
0,fwd,924,0,732,2,2
0,fwd,66,31,240,43,26
0,fwd,28,31,636,40,36
0,fwd,636,32,28,18,18
0,fwd,1522,1,53,31,31
0,fwd,1522,15,53,16,16
0,fwd,117,76,260,12,11
0,fwd,260,76,117,14,13
0,fwd,28,25,260,1,1
0,fwd,260,25,28,1,1
0,fwd,251,27,117,8,8
0,fwd,117,27,251,10,10
0,fwd,6771,39,564,1,1
0,fwd,8388,39,564,1,1
0,fwd,6771,66,564,1,1
0,fwd,177,1,1558,1,1
0,fwd,1111,32,66,1,1
0,fwd,66,31,1111,1,1
0,fwd,1111,0,2879,1,1
0,fwd,1111,8,66,2,2
0,fwd,4115,142,1142,31,31
0,fwd,4115,5,343,1,1
0,fwd,0,47,2874,4,4
0,fwd,2874,47,0,2,2
0,fwd,2694,0,2874,187,187
0,fwd,13,4,8,1,1
0,fwd,13,4,698,3,2
0,fwd,251,0,65,2,1
0,fwd,221,8,345,22,21
0,fwd,221,47,251,8,5
0,fwd,251,47,221,2,2
0,fwd,221,25,63,16,16
0,fwd,63,25,221,61,61
0,fwd,1411,5,2750,1,1
0,fwd,4977,97,428,112,111
0,fwd,787,20,66,3,3
0,fwd,260,41,190,11,10
0,fwd,190,41,260,1,1
0,fwd,787,0,4735,140,139
0,fwd,787,32,66,5,3
0,fwd,66,31,787,22,12
0,fwd,1988,0,636,1,1
0,fwd,1988,0,6436,60,59
0,fwd,8440,50,6436,6,6
0,fwd,159,29,48,1,1
0,fwd,555,27,48,1,1
0,fwd,19,14,1958,12,12
0,fwd,565,0,161,20,20
0,fwd,19,0,161,16,14
0,fwd,42,1,445,3,2
0,fwd,19,0,17746,230,222
0,fwd,42,41,19,4,4
0,fwd,40,19,57,1,1
0,fwd,415,47,1691,2,2
0,fwd,415,47,7592,15,14
0,fwd,1691,47,415,5,4
0,fwd,7592,47,415,9,8
0,fwd,38,25,2455,15,14
0,fwd,2455,25,38,28,28
0,fwd,701,32,182,1,1
0,fwd,182,31,701,1,1
0,fwd,11852,25,11369,3,3
0,fwd,11369,25,11852,3,3
0,fwd,182,15,38,3,3
0,fwd,400,0,445,12,11
0,fwd,663,47,3291,55,54
0,fwd,663,32,66,1,1
0,fwd,663,47,1557,41,41
0,fwd,3291,47,663,29,29
0,fwd,66,31,663,4,1
0,fwd,1557,47,663,41,41
0,fwd,3740,8,3739,53,53
0,fwd,2893,108,6,2,2
0,fwd,6,107,2893,1,1
0,fwd,50,31,255,4,4
0,fwd,255,32,50,2,2
0,fwd,7509,47,2163,2,2
0,fwd,2163,47,7509,2,2
0,fwd,221,4,6,12,12
0,fwd,50,32,1437,18,18
0,fwd,28,32,1437,44,43
0,fwd,1437,31,50,37,36
0,fwd,1437,31,28,56,54
0,fwd,80,0,50,2,2
0,fwd,3183,1,187,1,1
0,fwd,3183,8,187,2,2
0,fwd,529,1,3208,816,816
0,fwd,1400,19,57,1,1
0,fwd,21998,0,127,406,406
0,fwd,956,0,126,13,13
0,fwd,956,47,126,42,42
0,fwd,126,47,956,26,26
0,fwd,1152,36,187,1,1
0,fwd,373,47,10067,91,91
0,fwd,10067,47,373,47,46
0,fwd,187,6,621,7,7
0,fwd,1,41,67,1,1
0,fwd,67,41,1,1,1
0,fwd,0,41,157,1,1
0,fwd,157,41,0,1,1
0,fwd,3094,25,3193,1,1
0,fwd,3193,25,3094,1,1
0,fwd,1333,47,596,35,35
0,fwd,596,47,1333,37,35
0,fwd,511,47,115,37,35
0,fwd,115,47,511,51,51
0,fwd,1101,0,530,33,33
0,fwd,50,8,6,10,10
0,fwd,642,0,729,26,24
0,fwd,642,4,729,56,56
0,fwd,2265,8,7131,66,65
0,fwd,32,47,14423,1,1
0,fwd,14423,47,32,1,1
0,fwd,1923,1,1340,1,1
0,fwd,664,20,63,46,46
0,fwd,1730,25,123,2,1
0,fwd,123,25,1730,1,1
0,fwd,765,6,19,4,4
0,fwd,1730,12,123,6,6
0,fwd,445,30,20,7,7
0,fwd,123,47,91,23,23
0,fwd,91,8,1729,232,232
0,fwd,91,47,123,70,69
