time,dir,s,r,o,rank_raw,rank_filter
0,fwd,30,13,18,3,3
0,fwd,77,0,8,1,1
0,fwd,44,2,3,1,1
0,fwd,271,0,131,3,3
0,fwd,9,11,28,2,2
0,fwd,53,8,347,13,13
0,fwd,88,20,24,674,674
0,fwd,32,2,16,1,1
0,fwd,33,1,258,5,5
0,fwd,864,4,1,1,1
0,fwd,551,3,60,4,4
0,fwd,145,0,37,1,1
0,fwd,127,31,64,1,1
0,fwd,337,0,91,1,1
0,fwd,18,13,30,1,1
0,fwd,19,6,17,1,1
0,fwd,267,23,8,1,1
0,fwd,91,1,101,1,1
0,fwd,2843,35,585,7,7
0,fwd,2,2,9,2,1
0,fwd,40,27,33,1,1
0,fwd,109,3,0,1,1
0,fwd,54,21,1760,6,6
0,fwd,1897,1,469,38,38
0,fwd,41,15,37,6,6
0,fwd,886,0,201,36,36
0,fwd,102,2,842,86,86
0,fwd,107,36,332,4,4
0,fwd,964,0,297,10,10
0,fwd,14,0,1,1,1
0,fwd,82,6,17,107,107
0,fwd,299,52,1,1,1
0,fwd,6269,0,1963,2380,2380
0,fwd,3,21,225,1,1
0,fwd,2643,7,886,672,672
0,fwd,1,16,148,2,2
0,fwd,47,0,56,1,1
0,fwd,28,2,9,2,2
0,fwd,1132,1,181,8,8
0,fwd,53,0,287,5,5
0,fwd,1859,0,402,3,3
0,fwd,241,1,606,3,3
0,fwd,259,0,37,217,217
0,fwd,374,2,17,1,1
0,fwd,193,18,60,1,1
0,fwd,20,6,108,1,1
0,fwd,80,5,2756,2,2
0,fwd,16,14,36,1,1
0,fwd,42,0,8,1,1
0,fwd,18,15,30,1,1
0,fwd,64,34,127,1,1
0,fwd,40,27,258,2,1
0,fwd,54,11,1760,3,3
0,fwd,1536,6,2848,1,1
0,fwd,161,0,639,19,19
0,fwd,697,0,20,189,189
0,fwd,1,16,58,6,5
0,fwd,5,15,7,3,3
0,fwd,677,2,9,3,3
0,fwd,12,3,37,3,3
0,fwd,101,36,91,1,1
0,fwd,1137,1,3919,2,2
0,fwd,137,0,812,4,4
0,fwd,255,43,786,74,74
0,fwd,28,25,2,1,1
0,fwd,875,0,205,39,39
0,fwd,2203,1,102,1,1
0,fwd,22,3,342,1,1
0,fwd,13,17,4,4,4
0,fwd,3726,17,2314,2,2
0,fwd,102,1,2203,2,2
0,fwd,1568,0,5155,4198,4198
0,fwd,1860,1,886,19,19
0,fwd,19,8,17,1,1
0,fwd,446,9,204,1,1
0,fwd,33,27,258,2,1
0,fwd,608,7,49,238,236
0,fwd,572,9,333,11,11
0,fwd,170,0,4369,4049,4049
0,fwd,936,0,353,2,2
0,fwd,825,20,150,3,3
0,fwd,309,9,2,1,1
0,fwd,421,9,793,1544,1544
0,fwd,66,16,179,1,1
0,fwd,1058,1,1366,231,231
0,fwd,3349,0,687,4,4
0,fwd,714,0,134,1,1
0,fwd,0,0,626,273,273
0,fwd,98,0,1516,1028,1028
0,fwd,717,10,32,2,2
0,fwd,218,7,1,1,1
0,fwd,14,1,26,1,1
0,fwd,3724,1,4621,2,2
0,fwd,3,49,44,4,4
0,fwd,1449,8,27,45,45
0,fwd,101,1,91,1,1
0,fwd,15,0,167,5,5
0,fwd,47,7,56,4,4
0,fwd,38,0,11,7,7
0,fwd,469,1,1897,44,44
0,fwd,298,1,3403,10,10
0,fwd,1366,1,1058,105,105
0,fwd,2756,1,541,5,5
0,fwd,407,10,563,3,3
0,fwd,2,10,746,27,27
0,fwd,258,1,72,26,25
0,fwd,3919,0,104,3,3
0,fwd,0,3,5,1,1
0,fwd,225,21,3,1,1
0,fwd,1,5,864,1,1
0,fwd,849,28,500,997,997
0,fwd,1436,0,58,102,102
0,fwd,149,0,86,1,1
0,fwd,254,10,15,2,2
0,fwd,165,2,32,4,4
0,fwd,122,0,61,1,1
0,fwd,26,1,14,1,1
0,fwd,2,28,3934,6948,6948
0,fwd,91,31,101,1,1
0,fwd,28,26,9,2,2
0,fwd,2314,17,3726,1,1
0,fwd,24,5,33,1,1
0,fwd,3,21,977,53,52
0,fwd,825,20,226,14,13
0,fwd,40,4,24,1,1
0,fwd,179,16,66,1,1
0,fwd,1,13,148,1,1
0,fwd,271,1,131,2,2
0,fwd,1262,0,1844,30,30
0,fwd,3207,28,441,2,2
0,fwd,4237,2,364,1,1
0,fwd,606,0,75,3646,3646
0,fwd,772,14,591,8,8
0,fwd,199,7,281,42,42
0,fwd,0,16,5,5,5
0,fwd,324,1,638,7,7
0,fwd,205,7,106,14,14
0,fwd,2483,10,156,1,1
0,fwd,657,4,1,1,1
0,fwd,7,5,11,1,1
0,fwd,258,15,24,7,7
0,fwd,10,16,196,4,4
0,fwd,203,3,178,4,4
0,fwd,3,28,1326,8,8
0,fwd,258,1,33,3,3
0,fwd,22,1,342,1,1
0,fwd,64,11,127,1,1
0,fwd,330,10,2,1,1
0,fwd,421,0,793,453,453
0,fwd,0,2,626,107,106
0,fwd,10,50,220,1,1
0,fwd,101,34,91,1,1
0,fwd,309,8,2,1,1
0,fwd,0,2,5,1,1
0,fwd,641,3,1,1,1
0,fwd,1990,1,886,28,27
0,fwd,4049,7,260,10,10
0,fwd,33,7,0,4,4
0,fwd,101,11,91,1,1
0,fwd,4,12,63,4,4
0,fwd,294,2,3,1,1
0,fwd,11,97,7,1,1
0,fwd,145,0,173,2,1
0,fwd,63,12,4,6,6
0,fwd,772,2,591,19,19
0,fwd,52,1,622,4,4
0,fwd,44,41,3,1,1
0,fwd,638,1,324,7,7
0,fwd,1371,0,197,52,52
0,fwd,33,4,0,1,1
0,fwd,622,11,2,1,1
0,fwd,72,1,258,9,9
0,fwd,150,23,61,1,1
0,fwd,215,30,6798,63,63
0,fwd,139,0,834,3078,3078
0,fwd,606,1,241,1,1
0,fwd,148,16,1,1,1
0,fwd,58,16,1,1,1
0,fwd,28,21,2,1,1
0,fwd,77,7,1,1,1
0,fwd,3919,1,1137,2,2
0,fwd,557,0,36,1,1
0,fwd,281,2,2,1,1
0,fwd,112,144,23,18,18
0,fwd,48,0,9,1,1
0,fwd,4621,1,3724,2,2
0,fwd,302,37,8,29,29
0,fwd,2,2,319,19,16
0,fwd,106,14,4712,6759,6759
0,fwd,2314,15,886,23,23
0,fwd,3372,7,214,4,4
0,fwd,467,9,9,2,2
0,fwd,1777,23,1667,2,2
0,fwd,30,15,18,2,2
0,fwd,226,12,61,1,1
0,fwd,828,3,258,273,273
0,fwd,2,125,90,2,2
0,fwd,16,2,51,2,1
0,fwd,3934,33,2,15,15
0,fwd,32,32,308,25,25
0,fwd,110,0,36,1,1
0,fwd,33,4,24,2,1
0,fwd,6386,2,16,65,65
0,fwd,2,2,584,58,54
0,fwd,1,5,657,2,1
0,fwd,347,0,287,1,1
0,fwd,28,14,2,1,1
0,fwd,5,6,365,1,1
0,fwd,19,18,17,1,1
0,fwd,886,1,1990,15,15
0,fwd,148,13,1,1,1
0,fwd,935,2,41,24,24
0,fwd,608,7,192,23,23
0,fwd,665,2,1293,4,4
0,fwd,1760,36,54,3,3
0,fwd,7,15,5,1,1
0,fwd,986,30,1263,2561,2561
0,fwd,1,7,8,1,1
0,fwd,76,0,48,4,4
0,fwd,2440,0,1029,53,53
0,fwd,37,5,12,1,1
0,fwd,258,27,33,2,1
0,fwd,4270,7,9,2,2
0,fwd,196,16,10,7,7
0,fwd,467,0,9,1,1
0,fwd,29,6,81,1,1
0,fwd,2756,4,80,3,3
0,fwd,145,0,2123,892,890
0,fwd,309,2,239,22,22
0,fwd,622,1,52,2,2
0,fwd,19,18,151,2,1
0,fwd,19,2,17,1,1
0,fwd,1990,1,201,1,1
0,fwd,5,16,0,1,1
0,fwd,485,5,580,3,3
0,fwd,469,7,1897,132,132
0,fwd,5894,8,189,675,675
0,fwd,1681,28,17,1,1
0,fwd,3478,0,3820,2374,2374
0,fwd,2,88,239,55,55
0,fwd,117,10,89,4,4
0,fwd,342,1,22,1,1
0,fwd,12,4,37,1,1
0,fwd,159,1,6,3,3
0,fwd,145,1,12,10,10
0,fwd,309,0,194,10,10
0,fwd,3403,1,298,8,8
0,fwd,52,0,9,1,1
0,fwd,91,24,101,1,1
0,fwd,541,1,2756,9,9
0,fwd,4,17,13,1,1
0,fwd,12,3,145,65,64
0,fwd,276,7,1,1,1
0,fwd,73,7,4719,175,175
0,fwd,24,1,421,26,26
0,fwd,421,1,24,19,19
0,fwd,2926,8,5449,6,6
0,fwd,809,13,1,6,6
0,fwd,7,70,60,2,2
0,fwd,45,44,108,1,1
0,fwd,37,45,1176,6,6
0,fwd,201,1,1990,2,2
0,fwd,24,5,40,3,2
0,fwd,16,2,36,1,1
0,fwd,1830,2,55,1,1
0,fwd,258,27,40,1,1
0,fwd,608,7,43,67,66
0,fwd,0,5,33,1,1
0,fwd,2,2,90,1,1
0,fwd,123,3,355,10,10
0,fwd,886,20,5095,3821,3821
0,fwd,40,17,33,1,1
0,fwd,6,1,159,2,2
0,fwd,75,0,63,1,1
0,fwd,33,17,40,1,1
0,fwd,125,14,215,1,1
0,fwd,281,7,2,1,1
0,fwd,143,0,108,4,4
0,fwd,154,10,3,1,1
0,fwd,359,0,9,1,1
0,fwd,981,41,189,1,1
0,fwd,3372,8,1276,111,111
0,fwd,886,1,1860,18,17
0,fwd,5228,0,385,2636,2636
0,fwd,314,1,1109,7,7
0,fwd,1060,0,0,1,1
0,fwd,30,5,18,1,1
0,fwd,127,24,64,1,1
0,fwd,2,2,76,4,2
0,fwd,268,2,175,2,2
0,fwd,1597,0,385,2,2
0,fwd,7,6,60,1,1
0,fwd,54,6,1760,3,3
0,fwd,1294,2,17,1,1
0,fwd,726,3,2487,4888,4888
0,fwd,52,9,9,1,1
0,fwd,1965,0,468,1,1
0,fwd,3372,0,1276,37,37
0,fwd,61,12,226,1,1
0,fwd,38,3,37,26,26
0,fwd,1076,2,1359,7,7
0,fwd,18,4,30,2,2
0,fwd,2,9,9,1,1
0,fwd,429,27,14,1,1
0,fwd,886,74,201,98,98
0,fwd,840,7,1295,15,15
0,fwd,28,11,2,1,1
0,fwd,18,3,30,2,2
0,fwd,225,11,3,1,1
0,fwd,58,30,82,85,85
0,fwd,181,1,1132,4,4
0,fwd,118,7,5036,404,404
0,fwd,11,4,7,1,1
0,fwd,22,22,2968,1097,1097
0,fwd,110,2,16,1,1
0,fwd,52,2,2,1,1
0,fwd,1236,7,161,1731,1731
0,fwd,12,1,145,19,19
0,fwd,27,15,196,15,15
0,fwd,1109,1,314,6,6
0,fwd,1249,7,1326,46,46
0,fwd,110,69,16,2,2
0,fwd,53,2,347,11,11
0,fwd,6,2,1792,275,275
0,fwd,14,27,429,2,2
0,fwd,131,1,271,2,2
0,fwd,409,10,555,8,8
0,fwd,736,10,490,11,11
0,fwd,2679,3,1,1,1
0,fwd,33,27,40,1,1
0,fwd,5,3,0,1,1
0,fwd,2182,3,103,2,2
0,fwd,2,33,9,2,2
0,fwd,8,15,276,22,22
0,fwd,541,0,30,1,1
0,fwd,1371,8,197,52,52
0,fwd,38,0,114,79,78
0,fwd,144,0,1,1,1
0,fwd,20,44,108,2,2
0,fwd,3,10,225,1,1
0,fwd,75,0,8,14,13
0,fwd,580,4,485,3,3
0,fwd,334,0,1748,58,58
0,fwd,199,2,2,1,1
0,fwd,665,2,4792,16,15
0,fwd,150,14,61,1,1
0,fwd,16,15,115,8,8
0,fwd,374,0,19,1,1
0,fwd,44,6,3,1,1
0,fwd,4134,2,23,7,7
0,inv,18,243,30,1,1
0,inv,8,230,77,1,1
0,inv,3,232,44,1,1
0,inv,131,230,271,3,3
0,inv,28,241,9,2,2
0,inv,347,238,53,5,5
0,inv,24,250,88,2022,2022
